MUSTERI_NO,TELEFON,NUMBER_TYPE
1,5333371000,PHONE
2,5354321938,PHONE
3,3840812,CITY CODE UNKNOWN NOT A PHONE CAN BE SABIT
3,5451215,CITY CODE UNKNOWN NOT A PHONE CAN BE SABIT
4,2125121278,"İstanbul (Avrupa Yakası), SABIT"
5,3122441245,"Ankara, SABIT"
6,2164414512,"İstanbul (Anadolu Yakası), SABIT"
7,273574191,CITY CODE UNKNOWN NOT A PHONE CAN BE SABIT
7,5353415643,PHONE
8,5422388080,PHONE
9,1111111,CITY CODE UNKNOWN NOT A PHONE CAN BE SABIT
10,3121111111,"Ankara, SABIT"
11,5433379131,PHONE
12,2724155658,CITY CODE NOT IN THE LIST
13,3122441247,"Ankara, SABIT"
14,3122441248,"Ankara, SABIT"
15,3152331233,CITY CODE NOT IN THE LIST
15,5444321939,PHONE
16,2164177175,"İstanbul (Anadolu Yakası), SABIT"
